job_id,repo_id,repo_name,pr_id,pr_number,agent,revision,checkout_ref,base_sha,head_sha,language,codeql_language,codeql_version,query_suite,build_mode,build_command,comparison_status,status,attempts,retry_excluded,retry_excluded_reason
box_box-ui-elements__pr-4119__before,95743138,box/box-ui-elements,2553073618,4119,Human,before,8bdbf3eee149e3a6dbc3431792509f3005371561,8bdbf3eee149e3a6dbc3431792509f3005371561,a962e9ff4d494b7c1929128884f59198fd05e93e,JavaScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
box_box-ui-elements__pr-4119__after,95743138,box/box-ui-elements,2553073618,4119,Human,after,a962e9ff4d494b7c1929128884f59198fd05e93e,8bdbf3eee149e3a6dbc3431792509f3005371561,a962e9ff4d494b7c1929128884f59198fd05e93e,JavaScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
toeverything_AFFiNE__pr-11935__before,519859998,toeverything/AFFiNE,2475947090,11935,Human,before,1d38e5787b7c8133d5c23637d908d712f1cee65d,1d38e5787b7c8133d5c23637d908d712f1cee65d,eaa1bc6bf10dbfe16ab6d15f3395207141e6b279,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
toeverything_AFFiNE__pr-11935__after,519859998,toeverything/AFFiNE,2475947090,11935,Human,after,eaa1bc6bf10dbfe16ab6d15f3395207141e6b279,1d38e5787b7c8133d5c23637d908d712f1cee65d,eaa1bc6bf10dbfe16ab6d15f3395207141e6b279,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
bespokelabsai_curator__pr-598__before,879473096,bespokelabsai/curator,2409498745,598,Human,before,eab68b3017559cce15220ce0b35bed9088daabd1,eab68b3017559cce15220ce0b35bed9088daabd1,0ac2cbab8a2bb263f7210168a1cdcdcf00f71724,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
bespokelabsai_curator__pr-598__after,879473096,bespokelabsai/curator,2409498745,598,Human,after,0ac2cbab8a2bb263f7210168a1cdcdcf00f71724,eab68b3017559cce15220ce0b35bed9088daabd1,0ac2cbab8a2bb263f7210168a1cdcdcf00f71724,Python,python,2.23.2,security-and-quality,none,,compared,completed,1,,
reown-com_appkit__pr-4095__before,127246132,reown-com/appkit,2422466645,4095,Human,before,bc43257a554e65002fed39c99a05ef0f3b415e78,bc43257a554e65002fed39c99a05ef0f3b415e78,decad34ab65198e2dd5f499133182cb20b27a6df,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
reown-com_appkit__pr-4095__after,127246132,reown-com/appkit,2422466645,4095,Human,after,decad34ab65198e2dd5f499133182cb20b27a6df,bc43257a554e65002fed39c99a05ef0f3b415e78,decad34ab65198e2dd5f499133182cb20b27a6df,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
remotion-dev_remotion__pr-4846__before,274495425,remotion-dev/remotion,2311873855,4846,Human,before,ad815ef08979c699c82d8a265d7f0ae2868fe966,ad815ef08979c699c82d8a265d7f0ae2868fe966,f254b1df537c8ada40c2dee9080d39f9b7df7de4,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
remotion-dev_remotion__pr-4846__after,274495425,remotion-dev/remotion,2311873855,4846,Human,after,f254b1df537c8ada40c2dee9080d39f9b7df7de4,ad815ef08979c699c82d8a265d7f0ae2868fe966,f254b1df537c8ada40c2dee9080d39f9b7df7de4,TypeScript,javascript-typescript,2.23.2,security-and-quality,none,,compared,completed,1,,
