repo_name,pr_number,group,task_type,repo_language,merge_quarter,changed_kloc,log1p_changed_kloc,stars,log1p_stars,design_name,propensity_ai,exact_stratum,common_support,overlap_weight,support_exclusion_reason
mendableai/firecrawl,1448,ai,feat,TypeScript,2025-Q2,0.274,0.24216155714997162,43970.0,10.69128560469541,unweighted_full_sample,,feat|TypeScript,True,1.0,
openai/openai-agents-python,1215,ai,fix,Python,2025-Q3,0.004,0.003992021269537453,13119.0,9.48189306249808,unweighted_full_sample,,fix|Python,True,1.0,
marimo-team/marimo,3843,ai,refactor,Python,2025-Q1,0.025,0.0246926125903715,14933.0,9.611395771595648,unweighted_full_sample,,refactor|Python,True,1.0,
seasonedcc/remix-forms,377,ai,refactor,TypeScript,2025-Q2,0.173,0.1595645696713384,517.0,6.249975242259483,unweighted_full_sample,,refactor|TypeScript,True,1.0,
promptfoo/promptfoo,4134,ai,feat,TypeScript,2025-Q2,0.101,0.09621885774054292,7809.0,8.963160242833732,unweighted_full_sample,,feat|TypeScript,True,1.0,
stanford-crfm/levanter,1070,ai,refactor,Python,2025-Q3,0.006,0.005982071677547464,628.0,6.444131256700441,unweighted_full_sample,,refactor|Python,True,1.0,
wizarrrr/wizarr,578,ai,feat,Python,2025-Q2,0.044,0.04305948946044697,2081.0,7.641084249174914,unweighted_full_sample,,feat|Python,True,1.0,
getsentry/sentry,94888,ai,feat,Python,2025-Q3,0.057,0.055434706888100586,41579.0,10.635374561412004,unweighted_full_sample,,feat|Python,True,1.0,
calcom/cal.com,21652,ai,feat,TypeScript,2025-Q2,0.142,0.13278111123381847,37399.0,10.529425983402623,unweighted_full_sample,,feat|TypeScript,True,1.0,
liam-hq/liam,1304,ai,feat,TypeScript,2025-Q2,0.217,0.19638881400539013,4194.0,8.341648618901306,unweighted_full_sample,,feat|TypeScript,True,1.0,
liam-hq/liam,1960,ai,feat,TypeScript,2025-Q2,0.043,0.04210117601863539,4194.0,8.341648618901306,unweighted_full_sample,,feat|TypeScript,True,1.0,
lostintangent/gistpad,400,ai,feat,TypeScript,2025-Q2,0.02,0.019802627296179712,1009.0,6.917705609835305,unweighted_full_sample,,feat|TypeScript,True,1.0,
microsoft/vscode,251856,ai,feat,TypeScript,2025-Q2,0.081,0.07788653865707122,175171.0,12.073523627360677,unweighted_full_sample,,feat|TypeScript,True,1.0,
novuhq/novu,8584,ai,fix,TypeScript,2025-Q2,0.082,0.07881118042428978,37349.0,10.528088190560963,unweighted_full_sample,,fix|TypeScript,True,1.0,
liam-hq/liam,1478,ai,refactor,TypeScript,2025-Q2,0.488,0.3974329364109001,4194.0,8.341648618901306,unweighted_full_sample,,refactor|TypeScript,True,1.0,
liam-hq/liam,2566,ai,fix,TypeScript,2025-Q3,0.003,0.002995508979798479,4194.0,8.341648618901306,unweighted_full_sample,,fix|TypeScript,True,1.0,
browser-use/browser-use,2248,ai,feat,Python,2025-Q3,0.01,0.009950330853168083,66661.0,11.10739035441195,unweighted_full_sample,,feat|Python,True,1.0,
ryokun6/ryos,163,ai,fix,TypeScript,2025-Q2,0.073,0.07045846364856141,558.0,6.326149473155099,unweighted_full_sample,,fix|TypeScript,True,1.0,
TracecatHQ/tracecat,1209,ai,fix,Python,2025-Q2,0.001,0.0009995003330835331,2921.0,7.980023592310645,unweighted_full_sample,,fix|Python,True,1.0,
liam-hq/liam,1599,ai,feat,TypeScript,2025-Q2,0.027,0.02664193094642118,4194.0,8.341648618901306,unweighted_full_sample,,feat|TypeScript,True,1.0,
KilledByAPixel/LittleJS,144,ai,fix,JavaScript,2025-Q2,0.018,0.017839918128331,3693.0,8.214465160759186,unweighted_full_sample,,fix|JavaScript,True,1.0,
amantus-ai/vibetunnel,286,ai,feat,TypeScript,2025-Q3,0.075,0.07232066157962612,1691.0,7.433666540166168,unweighted_full_sample,,feat|TypeScript,True,1.0,
